Bongadeer	Warps	Games	Nights	Wins	Nights Won	CFBs	High Night	ComeOns
Triode	506	96	25	26	8.5	2	53	2
InfinityDot	424	105	28	11	4	0	39	1
JackoLantern	284	69	19	6	0	0	28	0
DrunkenMonkey	233	47	15	9	3.5	1	29	1
Turntable	212	42	13	10	3	1	46	0
TongueFace	200	50	19	3	0	1	24	0
C-dot	186	48	16	4	2	0	23	2
77k	182	47	19	3	0	1	20	2
Lifto	180	49	14	3	0	0	28	0
KissingFishes	174	48	19	1	0	0	18	0
Daisy	151	46	13	1	0	0	26	0
Ma	149	41	14	2	0	0	17	0
CircleLambda	149	46	12	2	0	0	29	0
AMN	130	38	16	0	0	0	14	0
Cube	125	35	15	2	0	0	18	0
Jwiz	107	25	8	2	0	1	32	0
TonyFangFace	100	24	10	2	0.5	0	26	0
3oclock	96	25	11	3	0	0	20	0
DiamondAlan	93	20	6	3	1	0	25	0
Dabomb	83	20	10	2	0.5	0	19	1
AF-Anna	81	19	8	3	0	0	12	0
Alpha	77	21	6	3	1	0	32	0
THAoctagon	71	17	6	3	2	0	23	0
Trash	64	10	7	4	1	1	20	0
StarburstOfDavid	58	14	4	1	0	0	23	0
Ronco	58	14	5	2	1	0	23	0
KC	48	16	5	0	0	0	21	0
PacManUp	47	13	5	0	0	0	15	0
HiTorque 47	13	4	1	0	0	22	0
PUGFP	41	12	6	0	0	0	11	0
Benzene	39	12	7	0	0	0	9	0
DunceCap	37	11	5	0	0	0	12	0
hashstar	37	8	3	1	0	1	18	0
Thoth	37	9	3	1	0	0	24	0
Quake	36	9	4	1	0	0	12	0
FangsChristine	36	9	5	0	0	0	14	0
MiddleFinger	35	12	5	0	0	0	12	0
MrJones	35	10	4	0	0	0	14	0
AppleK	29	8	4	0	0	0	10	0
BrokenHeart	28	8	4	0	0	0	9	0
doublehelix	27	7	3	0	0	0	17	0
Prometheus	26	10	4	0	0	0	12	0
69	26	6	3	1	0	0	13	0
Fnord	25	9	5	0	0	0	6	0
NoGirls	25	4	4	2	0	0	9	0
X+	24	7	3	0	0	0	11	0
knife	23	6	4	1	0	0	12	0
CloverCircle	21	7	4	0	0	0	7	0
Paladin	21	7	1	0	0	0	21	0
Pk	20	7	4	0	0	0	7	0
Squiggle	20	5	2	0	0	0	12	0
D	19	4	2	1	0	0	14	0
SquidDevil	19	5	2	0	0	0	11	0
CurlyStar	19	6	2	0	0	0	11	0
DiethylEther	19	5	3	0	0	0	7	0
yyy	18	7	2	0	0	0	12	0
Peach	17	5	2	0	0	0	9	0
Paragraph	15	5	2	0	0	0	12	0
Paula3stars	15	6	4	0	0	0	8	0
wunderline	14	4	2	0	0	0	8	0
EggDotJoe	13	5	1	0	0	0	13	0
Barcode	13	5	5	0	0	0	4	0
spirotriangle	13	2	2	1	0	0	8	0
Hands	13	4	2	0	0	0	7	0
ThereDoesNotExist	12	5	2	0	0	0	8	0
trdrip	12	4	1	0	0	0	12	0
Ring	12	4	2	0	0	0	9	0
ReverseTriangle	12	3	2	0	0	0	8	0
z	12	3	1	0	0	0	12	0
Star12	10	5	4	0	0	0	3	0
Zcircle	10	2	1	0	0	0	10	0
lowercasezeta	9	2	1	0	0	0	9	0
thimble	8	2	2	0	0	0	4	0
SpaceMonkey	8	3	1	0	0	0	8	0
circlevline	8	2	1	0	0	0	8	0
stardots	8	2	1	0	0	0	8	0
YinYang	8	2	1	0	0	0	8	0
StickGuy	8	3	2	0	0	0	8	0
kanji	7	2	1	0	0	0	7	0
Fshield	7	2	1	0	0	0	7	0
N	7	3	2	0	0	0	4	0
Expressionless	6	2	2	0	0	0	4	0
Dimov	6	2	1	0	0	0	6	0
Spring	6	2	1	0	0	0	6	0
2venus2mars	5	2	1	0	0	0	5	0
R-Pentagram	5	1	1	0	0	0	5	0
AC	4	1	1	0	0	0	4	0
pc	4	2	1	0	0	0	4	0
Bib	4	1	1	0	0	0	4	0
SandwichSideways	4	2	1	0	0	0	4	0
2underline	4	1	1	0	0	0	4	0
Truck	4	1	1	0	0	0	4	0
threequestionmarks	4	1	1	0	0	0	4	0
hatwstick	4	1	1	0	0	0	4	0
ghost	4	1	1	0	0	0	4	0
sword	4	1	1	0	0	0	4	0
SteamerBoat	4	1	1	0	0	0	4	0
radioactive	4	1	1	0	0	0	4	0
Prince	3	1	1	0	0	0	3	0
SidewaysFace	3	1	1	0	0	0	3	0
Palette	2	1	1	0	0	0	2	0
palmtree	2	1	1	0	0	0	2	0
ReshVavNun	2	2	1	0	0	0	2	0
Nslash	2	1	1	0	0	0	2	0
Mwtail	2	1	1	0	0	0	2	0
circlefeet	2	1	1	0	0	0	2	0
tooth	2	1	1	0	0	0	2	0
spiral	2	1	1	0	0	0	2	0
Ankh	1	1	1	0	0	0	1	0
dz	1	1	1	0	0	0	1	0
5Emily	1	1	1	0	0	0	1	0
11	1	1	1	0	0	0	1	0
Julianna	1	1	1	0	0	0	1	0
Automobile	1	1	1	0	0	0	1	0
circlewhat	0	1	1	0	0	0	0	0
