Bongadeer	Warps	Games	Nights	Wins	Nights Won	CFBs	High Night			
Triode	333	80	29	8	4	0	23			
III	302	70	24	10	4	1	30			
Mohawk-Arrowhead	211	52	19	3	1	0	20			
TOPY	196	49	19	6	1	0	18			
Turntable	182	42	19	9	2	0	26			
Omega-Circle	170	31	13	9	3	1	29			
77K	167	42	17	4	1	0	21			
Two-Diamonds	157	41	14	1	2	0	22			
AMN	122	32	13	4	2	0	20			
Jack-O-Lantern	120	27	11	6	2	0	25			
C-dot	116	30	11	2	2	0	21			
Sunrays	107	26	13	1	1	1	16			
Fangs	101	22	7	1	1	0	19			
Nose-Ring	96	28	11	0	0	0	19			
AF	84	19	10	2	0	1	13			
Chaos-Circle	82	19	12	2	0	1	14			
Kissing-Fishes	74	23	10	0	0	0	12			
Uranus	71	19	8	3	0	0	13			
Tranx	68	12	8	3	0	0	16			
Ma	66	14	5	3	1	0	26			
Eminem	63	16	5	1	1	0	18			
Scooter	58	19	8	1	0	0	14			
TEP-Bunny	50	14	5	3	0	0	22			
E	48	12	8	0	0	0	9			
Star-with-Teardrop	47	11	6	3	1	0	21			
THA-Octagon	47	13	4	2	0	1	23			
Drunken-Monkey	45	12	8	1	0	0	13			
Angle	44	14	6	1	0	0	20			
Backwards-Alpha	44	14	5	0	0	0	11			
Bend-over-ellipsis	43	12	4	1	0	1	16			
Inverted-Ys	40	11	4	0	0	0	17			
Square-with-angle	39	10	6	1	0	0	12			
Infinity-Dot	36	11	4	0	0	0	15			
Eighth-note	34	9	7	0	0	0	8			
Ronco	31	7	5	1	0	0	12			
Tongue-Face	29	7	3	0	0	0	13			
Daisy	27	9	4	0	0	0	11			
Paladin	24	6	2	1	0	0	17			
Benzene	23	6	4	0	0	0	9			
Nazi-Fetus	23	7	2	0	0	0	13			
Nested-Triangles	23	7	3	0	0	0	9			
Trash-Can	22	6	4	1	0	0	11			
Cube	17	6	3	0	0	0	6			
Beercan	16	4	1	0	0	0	16			
DWPA	16	5	3	0	0	0	6			
Dunce	16	5	3	0	0	0	9			
Resistor	16	4	3	0	0	0	8			
Crescent-and-Star	15	6	3	0	0	0	7			
Fnord	15	7	3	0	0	0	6			
Qwidjibo	15	4	1	0	0	0	15			
Cherry-in-Box	14	4	2	0	0	0	11			
Diamond	14	2	1	1	0	0	14			
PK	14	4	2	0	0	0	11			
Zeta	14	4	2	0	0	0	10			
Love-Smiley	13	2	1	1	0	0	13			
Middle-finger	12	5	2	0	0	0	8			
Spiral-Sun	11	2	1	1	0	0	11			
Anarchy	10	4	3	0	0	0	4			
Clover-in-circle	10	2	1	0	0	0	10			
KAC	10	4	2	0	0	0	6			
Plaid	10	2	2	1	0	0	8			
Fish-Cow	9	2	1	0	0	0	9			
Hashed-Hexagon	9	2	1	0	0	0	9			
Peach	9	2	1	0	0	0	9			
{0}	9	3	1	0	0	0	9			
B-Dots	8	2	1	0	0	0	8			
Molar	8	1	1	1	0	0	8			
Teardrop	8	3	1	0	0	0	8			
Three-Stars	8	3	1	0	0	0	8			
CB	7	2	1	0	0	0	7			
Windowpane	7	3	1	0	0	0	7			
Flaming-Yin-Yang	6	3	2	0	0	0	4			
HW	6	2	2	0	0	0	5			
K	6	3	2	0	0	0	4			
12:15	4	1	1	0	0	0	4			
40	4	1	1	0	0	0	4			
B-Box	4	1	1	0	0	0	4			
Center-of-Gravity	4	1	1	0	0	0	4			
Co	4	1	1	0	0	0	4			
Drum	4	1	1	0	0	0	4			
FN	4	1	1	0	0	0	4			
Hands	4	1	1	0	0	0	4			
Kallisti	4	1	1	0	0	0	4			
NF	4	1	1	0	0	0	4			
Pippi	4	1	1	0	0	0	4			
DU-Potleaf	3	1	1	0	0	0	3			
233	2	1	1	0	0	0	2			
88	2	1	1	0	0	0	2			
C-in-A	2	1	1	0	0	0	2			
Spade	2	1	1	0	0	0	2			
Star-in-box	2	1	1	0	0	0	2			
Three-Mast-Ship	2	1	1	0	0	0	2			
Triangle-W	2	1	1	0	0	0	2			
circle-3	2	1	1	0	0	0	2			
Fish	1	1	1	0	0	0	1			
Upside-down-Ampersand	1	1	1	0	0	0	1			
Double-Neck	0	1	1	0	0	0	0			
Two-way-Screwhead	0	1	1	0	0	0	0			
