	Warps	Games	Nights	Wins	Nights Won	CFBs	High Night			
Ac	332	69	20	12	7	1	42			
Nested-triangles	320	75	21	7	4	1	32			
Triode	300	72	22	7	0	1	32			
Sunrays	227	44	20	11	4	1	26			
Iii	221	50	21	5	1	0	25			
Topy	135	29	8	5	2	1	37			
Fang-lips	116	24	15	5	1	0	18			
77k	95	20	8	5	3	1	36			
Two-diamonds	80	21	10	0	0	0	13			
Jack-o-lantern	80	15	4	5	1	0	25			
Chaos-circle	70	18	12	1	0	0	15			
Fangs	64	16	4	1	0	0	23			
C-dot	58	11	5	4	1	0	24			
Triangle-with-loops	55	14	6	1	0	0	12			
Cloverleaf-in-circle	54	12	5	1	0	0	16			
Spot	54	13	4	1	0	0	23			
Spiral-head	53	13	3	2	0	1	22			
Af	51	11	5	2	1	0	24			
Dwpa	46	8	4	3	0	0	21			
Pk	44	18	9	0	0	0	9			
Diamond	42	7	4	2	0	1	17			
Rhombus-4	42	10	4	0	0	0	16			
Nose-ring	33	8	4	1	1	0	14			
Benzene	33	8	4	1	0	0	10			
Dk	33	10	3	0	0	0	13			
Xi	32	6	2	2	1	1	25			
Gamma	31	6	2	1	0	0	27			
Glasses-face	29	9	4	0	0	0	14			
Jb	29	7	5	1	0	0	10			
F-shield	28	7	2	2	0	0	20			
Mem	28	7	4	0	0	0	10			
Tha-octagon	27	5	3	2	0	0	14			
Cherry	27	6	2	1	0	0	21			
Drunken-monkey	26	5	4	1	1	0	13			
8-ball	24	5	2	1	0	0	14			
Klein-bottle	21	6	5	0	0	0	7			
Blade	21	5	2	1	0	0	13			
Y-in-triangle	21	4	4	1	0	0	8			
Hammer-and-sickle	20	6	1	0	0	0	20			
Oso	19	4	1	1	0	0	19			
Scooter	18	5	3	0	0	0	8			
Trident	17	7	4	0	0	0	9			
Star-with-teardrop	17	5	4	0	0	0	7			
E	16	3	2	1	0	0	12			
Nyhc	14	3	1	1	1	0	14			
Green-lantern	13	3	3	0	0	0	6			
Eagle	12	4	4	0	0	0	4			
Dc	12	3	1	0	0	0	12			
Cat-head	11	3	1	0	0	0	11			
Amn	11	3	1	0	0	0	11			
Jimmy-page	10	3	3	0	0	0	5			
Two-characters	8	2	1	0	0	0	8			
Eye-in-pyramid	8	2	2	0	0	0	4			
Eighth-note	8	2	2	0	0	0	4			
M-head	8	2	1	0	0	0	8			
Inverted-ys	8	3	2	0	0	0	7			
Teardrop	7	2	1	0	0	0	7			
Flower-in-diamond	7	2	1	0	0	0	7			
Eighth-notes-in-circle	7	3	1	0	0	0	7			
Barcode	7	1	1	1	0	0	7			
Ma	6	2	2	0	0	0	4			
Spiral-in-box	6	1	1	0	0	0	6			
Alien	6	2	2	0	0	0	4			
Blue-oyster-cult	6	3	1	0	0	0	6			
C-antlers	6	2	1	0	0	0	6			
Turntable	5	1	1	0	0	0	5			
Prince	5	2	1	0	0	0	5			
Black-flag	4	2	1	0	0	0	4			
Black-tailed	4	2	1	0	0	0	4			
Qwidjibo	4	1	1	0	0	0	4			
Burning-heart	4	1	1	0	0	0	4			
Cross-in-circle	4	1	1	0	0	0	4			
Apple-k	4	1	1	0	0	0	4			
Kac	4	1	1	0	0	0	4			
Jesus-fish	4	1	1	0	0	0	4			
Ronco	4	1	1	0	0	0	4			
Lauren	3	1	1	0	0	0	3			
Hands	3	1	1	0	0	0	3			
V-over-triangle	2	1	1	0	0	0	2			
Crosshaired-triangle	2	1	1	0	0	0	2			
