gamer	warps	games	nights	wins	nights_won	cfbs	high_night
Paw	755	156	29	30	11	2	56
Pawn	332	58	18	16	2	1	46
Nested-Triangles	313	62	12	14	4	1	49
III	268	59	20	8	0	2	39
Math	241	49	12	7	3	0	29
Cherry	235	52	17	6	0	0	35
Script-S	234	44	11	10	4	0	33
BY	202	52	14	2	0	0	23
Upside-Down-Smiling-Face	168	39	10	3	1	1	23
Ironman	144	36	16	1	0	0	26
DWPA	138	26	5	8	2	1	61
Drunken-Monkey	115	24	11	4	0	0	30
Blade	106	23	10	1	0	0	21
Chaos-Circle	101	25	16	3	1	0	14
Russian-Tetris-R	101	24	8	1	0	0	26
Led-Zeppelin-Circles	100	24	12	1	0	0	22
Eye	98	26	10	0	0	0	20
Metallic-Pacman-Ghost	86	24	10	1	0	0	21
Spiral-In-Square	84	21	7	3	0	0	30
Menorah	74	12	3	5	1	0	35
Rhombus-4	67	17	5	2	0	0	20
Diamond	66	11	4	3	0	1	24
Pope-Hat	65	19	5	0	0	0	21
77K	65	15	3	2	0	0	32
JB	60	15	8	1	0	0	13
Nulset	56	14	7	1	0	0	17
DM	56	15	7	2	0	0	16
Gamma	53	13	6	1	0	0	16
Taurus	51	13	5	0	0	0	15
Fangs	49	9	4	2	0	1	24
One-Eyed-Face	47	11	2	3	0	0	26
Q*bert	47	11	5	1	0	1	17
8-Ball	42	11	3	1	0	0	19
Nosering	39	10	3	0	0	0	34
Pointy-V	38	9	4	0	0	0	13
C-Dot	34	6	2	2	0	0	22
Triode	32	8	5	0	0	0	14
Rocket-Into-Heart	31	8	2	0	0	0	16
Omega-Infinity	30	8	2	0	0	0	21
JR	29	9	5	0	0	0	9
Hon	26	5	3	1	0	0	14
Circle-M	23	7	5	0	0	0	6
Circled-Triangle-With-Circles	23	5	3	0	0	0	11
PK	22	3	1	2	0	0	22
Kallisti	21	6	4	0	0	0	9
7-L	21	4	1	1	0	0	21
E-With-Stars	20	3	2	1	0	1	12
Cross	19	5	2	0	0	0	15
THA-Octagon	16	4	2	0	0	0	12
Fork	16	4	2	0	0	0	12
Tentacle	14	4	2	0	0	0	8
Blue-Oyster-Cult	14	4	3	0	0	0	5
Safety-Pin	13	3	1	0	0	0	13
Therefore	13	4	2	0	0	0	7
Psi	13	3	1	0	0	0	13
Un	12	3	1	0	0	0	12
Molar	12	3	1	0	0	0	12
Swastika	12	3	1	0	0	0	12
Super-SH	11	2	1	1	0	0	11
Descending-Bullseye	11	3	1	0	0	0	11
Cloverleaf-In-Circle	11	2	1	0	0	0	11
Teddy-Bear	11	2	1	1	0	0	11
Umbrella	11	4	1	0	0	0	11
Duck	11	3	1	0	0	0	11
Circle-Triangle-Dot	11	4	1	0	0	0	11
3-O-Clock-Clock	11	4	1	0	0	0	11
11-Aug	11	4	1	0	0	0	11
Ozok	10	3	1	0	0	0	10
Backwards-Alpha	10	3	1	0	0	0	10
The-Number-Four	9	2	1	0	0	0	9
Two-Diamonds	9	4	3	0	0	0	4
Accented-E	9	2	1	0	0	0	9
Fire	9	3	1	0	0	0	9
Viking-Shield	9	2	1	0	0	0	9
Circle-Heart	8	2	1	0	0	0	8
Three-Eyes	8	3	1	0	0	0	8
Triangle-With-Loops	8	2	1	0	0	0	8
Hands	8	2	1	0	0	0	8
Ma	8	3	1	0	0	0	8
Pentagram	8	2	1	0	0	0	8
Box-L	8	4	3	0	0	0	4
Inward-Pointing-Arrows	7	2	1	0	0	0	7
Triangle-Right	7	3	1	0	0	0	7
X-In-A-Box	6	3	1	0	0	0	6
Tau	6	2	1	0	0	0	6
Pterodactyl	6	1	1	0	0	0	6
THA-Octgaon	6	2	1	0	0	0	6
DK	5	1	1	0	0	0	5
Shell	5	2	1	0	0	0	5
ZZZ	5	2	1	0	0	0	5
N-Bar	5	2	1	0	0	0	5
Circle-Plus	5	1	1	0	0	0	5
KK	4	1	1	0	0	0	4
Daisy	4	1	1	0	0	0	4
Wheelchair	4	1	1	0	0	0	4
Horned-Circle	4	1	1	0	0	0	4
Rat-in-Box	4	1	1	0	0	0	4
Noose	4	1	1	0	0	0	4
NR	4	1	1	0	0	0	4
L-hat	4	1	1	0	0	0	4
C-Squared	4	1	1	0	0	0	4
Dinosaur	4	1	1	0	0	0	4
Kissing-Fishes	4	1	1	0	0	0	4
USB-Pitchfork	4	1	1	0	0	0	4
Cat-Head	4	1	1	0	0	0	4
Five-Loops	4	1	1	0	0	0	4
Devil-M	4	1	1	0	0	0	4
Chinese-Characters-Windows	4	1	1	0	0	0	4
11	4	1	1	0	0	0	4
Omega-Over-Apple	3	1	1	0	0	0	3
XI	3	1	1	0	0	0	3
Resplendent-Star	3	1	1	0	0	0	3
Sleepy-Bunny	2	2	1	0	0	0	2
Bread-Under-Rainbow	2	1	1	0	0	0	2
MARVIC	2	2	1	0	0	0	2
Prince	1	1	1	0	0	0	1
Apple	1	1	1	0	0	0	1
Pointing-Finger	1	1	1	0	0	0	1
Z-bar	1	1	1	0	0	0	1
Lapel	1	1	1	0	0	0	1
SD3	1	1	1	0	0	0	1
Arrow-Bar	1	1	1	0	0	0	1
Halo-Smiley	1	1	1	0	0	0	1
Falling-Pill-Bottle	1	1	1	0	0	0	1
